objectid,title,filename,format,type,language,display_template,object_location,image_small,image_thumb
bodenhamer,"Deep Maps and Spatial Narratives, by David J. Bodenhamer",bodenhamer.jpg,image/jpeg,Image;StillImage,eng,image,/objects/bodenhamer.jpg,/objects/small/bodenhamer_sm.jpg,/objects/thumbs/bodenhamer_th.jpg
bsumek,"The Foundations of Glen Canyon Dam: Infrastructures of Dispossession on the Colorado Plateau, by Erika Marie Bsumek",bsumek.jpg,image/jpeg,Image;StillImage,eng,image,/objects/bsumek.jpg,/objects/small/bsumek_sm.jpg,/objects/thumbs/bsumek_th.jpg
curley,"Carbon Sovereignty: Coal, Development, and Energy Transition in the Navajo Nation, by Andrew Curley",curley.jpg,image/jpeg,Image;StillImage,eng,image,/objects/curley.jpg,/objects/small/curley_sm.jpg,/objects/thumbs/curley_th.jpg
curley2,"“Colonial Becoming: An Unfolding Story of the Colorado River,” by Andrew Curley",curley2.jpg,image/jpeg,Image;StillImage,eng,image,/objects/curley2.jpg,/objects/small/curley2_sm.jpg,/objects/thumbs/curley2_th.jpg
curley3,"“Infrastructures as colonial beachheads: The Central Arizona Project and the taking of Navajo resources,” by Andrew Curley",curley3.jpg,image/jpeg,Image;StillImage,eng,image,/objects/curley3.jpg,/objects/small/curley3_sm.jpg,/objects/thumbs/curley3_th.jpg
dawson,"“Sedimentary Justice: A Planetary Politics of Shifting Sediment,” by Kate Dawson",dawson.jpg,image/jpeg,Image;StillImage,eng,image,/objects/dawson.jpg,/objects/small/dawson_sm.jpg,/objects/thumbs/dawson_th.jpg
demuth,"Floating Coast: An Environmental History of the Bering Strait, by Bathsheba Demuth",demuth.jpg,image/jpeg,Image;StillImage,eng,image,/objects/demuth.jpg,/objects/small/demuth_sm.jpg,/objects/thumbs/demuth_th.jpg
dickey,"Sacrilege in Dinétah: Native Encounters with Glen Canyon Dam, by Sonia Dickey",dickey.jpg,image/jpeg,Image;StillImage,eng,image,/objects/dickey.jpg,/objects/small/dickey_sm.jpg,/objects/thumbs/dickey_th.jpg
dooren,"“Lively Ethography: Storying Animist Worlds,” by Thom van Dooren and Deborah Bird Rose",dooren.jpg,image/jpeg,Image;StillImage,eng,image,/objects/dooren.jpg,/objects/small/dooren_sm.jpg,/objects/thumbs/dooren_th.jpg
farmer,"Glen Canyon Dammed: Inventing Lake Powell and the Canyon Country, by Jared Farmer",farmer.jpg,image/jpeg,Image;StillImage,eng,image,/objects/farmer.jpg,/objects/small/farmer_sm.jpg,/objects/thumbs/farmer_th.jpg
hazard,"Underflows: Queer Trans Ecologies and River Justice, by Cleo Wolfe Hazard",hazard.jpg,image/jpeg,Image;StillImage,eng,image,/objects/hazard.jpg,/objects/small/hazard_sm.jpg,/objects/thumbs/hazard_th.jpg
kredell,"“Building a Geospatial Archive of Species Loss as Response to Local Caribou Extinction,” by Jack Kredell, Chris Lamb, and Devin Becker",kredell.jpg,image/jpeg,Image;StillImage,eng,image,/objects/kredell.jpg,/objects/small/kredell_sm.jpg,/objects/thumbs/kredell_th.jpg
lee,"All My Rivers are Gone: A Journey of Discovery Through Glen Canyon, by Katie Lee",lee.jpg,image/jpeg,Image;StillImage,eng,image,/objects/lee.jpg,/objects/small/lee_sm.jpg,/objects/thumbs/lee_th.jpg
ogden,Loss and Wonder at the World’s End by Laura Ogden,ogden.jpg,image/jpeg,Image;StillImage,eng,image,/objects/ogden.jpg,/objects/small/ogden_sm.jpg,/objects/thumbs/ogden_th.jpg
parrinello,"“The social life of sediment,” by Giacomo Parrinello and G. Mathias Kondolf",parrinello.jpg,image/jpeg,Image;StillImage,eng,image,/objects/parrinello.jpg,/objects/small/parrinello_sm.jpg,/objects/thumbs/parrinello_th.jpg
patagonia,"DamNation: The Problem with Hydropower, by Patagonia Films",patagonia.jpg,image/jpeg,Image;StillImage,eng,image,/objects/patagonia.jpg,/objects/small/patagonia_sm.jpg,/objects/thumbs/patagonia_th.jpg
podmore,"Life After Deadpool: Lake Powell’s Last Days and the Rebirth of the Colorado River, by Zak Podmore",podmore.jpg,image/jpeg,Image;StillImage,eng,image,/objects/podmore.jpg,/objects/small/podmore_sm.jpg,/objects/thumbs/podmore_th.jpg
powell,"Dead Pool: Lake Powell, Global Warming, and the Future of Water in the West, by James Lawrence Powell",powell.jpg,image/jpeg,Image;StillImage,eng,image,/objects/powell.jpg,/objects/small/powell_sm.jpg,/objects/thumbs/powell_th.jpg
smith,"Ice Geographies: The Colonial Politics of Race and Indigeneity in the Arctic, by Jen Rose Smith",smith.jpg,image/jpeg,Image;StillImage,eng,image,/objects/smith.jpg,/objects/small/smith_sm.jpg,/objects/thumbs/smith_th.jpg
tsing,"The Mushroom at the End of the World: On the Possibility of Life in Capitalist Ruins, by Anna Lowenhaupt Tsing",tsing.jpg,image/jpeg,Image;StillImage,eng,image,/objects/tsing.jpg,/objects/small/tsing_sm.jpg,/objects/thumbs/tsing_th.jpg
